gwas_name,hg38_pos,hg19_pos,new_beta
B1_ALL_eur_leave_23andme,1:239752715,chr1:239916014-239916016,0.23248
B1_ALL_eur_leave_23andme,1:239756478,chr1:239919777-239919779,0.23266
B1_ALL_eur_leave_23andme,2:119229661,chr2:119987236-119987238,-0.13882
B1_ALL_eur_leave_23andme,3:45801947,chr3:45843438-45843440,-0.48355
B1_ALL_eur_leave_23andme,3:45802706,chr3:45844197-45844199,0.47702
B1_ALL_eur_leave_23andme,3:45804256,chr3:45845747-45845749,-0.33764
B1_ALL_eur_leave_23andme,3:45807268,chr3:45848759-45848761,0.48255
B1_ALL_eur_leave_23andme,3:45818159,chr3:45859650-45859652,0.62367
B1_ALL_eur_leave_23andme,3:45830416,chr3:45871907-45871909,0.62413
B1_ALL_eur_leave_23andme,3:45859597,chr3:45901088-45901090,-0.63105
B1_ALL_eur_leave_23andme,3:45867532,chr3:45909023-45909025,0.51684
B1_ALL_eur_leave_23andme,3:45886267,chr3:45927758-45927760,0.33215
B1_ALL_eur_leave_23andme,3:45919208,chr3:45960699-45960701,0.43149
B1_ALL_eur_leave_23andme,3:45928899,chr3:45970390-45970392,0.42484
B1_ALL_eur_leave_23andme,3:45939679,chr3:45981170-45981172,0.42145
B1_ALL_eur_leave_23andme,3:45948381,chr3:45989872-45989874,-0.41607
B1_ALL_eur_leave_23andme,3:45955771,chr3:45997262-45997264,-0.41482
B1_ALL_eur_leave_23andme,3:45957717,chr3:45999208-45999210,0.42083
B1_ALL_eur_leave_23andme,3:45959236,chr3:46000727-46000729,0.42083
B1_ALL_eur_leave_23andme,3:45959378,chr3:46000869-46000871,0.42089
B1_ALL_eur_leave_23andme,3:45959735,chr3:46001226-46001228,-0.41428
B1_ALL_eur_leave_23andme,3:45962004,chr3:46003495-46003497,0.42081
B1_ALL_eur_leave_23andme,3:45964747,chr3:46006238-46006240,-0.41669
B1_ALL_eur_leave_23andme,3:45965996,chr3:46007487-46007489,-0.41666
B1_ALL_eur_leave_23andme,3:45966333,chr3:46007824-46007826,-0.41711
B1_ALL_eur_leave_23andme,3:45966595,chr3:46008086-46008088,-0.42407
B1_ALL_eur_leave_23andme,3:45967995,chr3:46009486-46009488,0.42133
B1_ALL_eur_leave_23andme,3:45968515,chr3:46010006-46010008,-0.41669
B1_ALL_eur_leave_23andme,3:45970787,chr3:46012278-46012280,0.4226
B1_ALL_eur_leave_23andme,3:45973053,chr3:46014544-46014546,0.4236
B1_ALL_eur_leave_23andme,3:45981341,chr3:46022832-46022834,0.4214
B1_ALL_eur_leave_23andme,3:45993605,chr3:46035096-46035098,0.42141
B1_ALL_eur_leave_23andme,3:46019812,chr3:46061303-46061305,0.39568
B1_ALL_eur_leave_23andme,3:46020348,chr3:46061839-46061841,0.3189
B1_ALL_eur_leave_23andme,3:46021837,chr3:46063328-46063330,-0.39705
B1_ALL_eur_leave_23andme,3:46024471,chr3:46065962-46065964,0.39579
B1_ALL_eur_leave_23andme,3:46026015,chr3:46067506-46067508,0.40662
B1_ALL_eur_leave_23andme,3:46066793,chr3:46108284-46108286,-0.38257
B1_ALL_eur_leave_23andme,3:46076468,chr3:46117959-46117961,0.40488
B1_ALL_eur_leave_23andme,3:46096615,chr3:46138106-46138108,0.40367
B1_ALL_eur_leave_23andme,3:46098581,chr3:46140072-46140074,0.4036
B1_ALL_eur_leave_23andme,3:46135604,chr3:46177095-46177097,0.30126
B1_ALL_eur_leave_23andme,9:23552176,chr9:23552173-23552175,0.61754
B1_ALL_eur_leave_23andme,10:7119216,chr10:7161177-7161179,-0.28568
B1_ALL_eur_leave_23andme,13:46291148,chr13:46865282-46865284,-0.21005
B1_ALL_eur_leave_23andme,17:42228185,chr17:40380202-40380204,0.46428
B1_ALL_eur_leave_23andme,17:42231006,chr17:40383023-40383025,0.46553
B1_ALL_eur_leave_23andme,19:38578001,chr19:39068640-39068642,0.47812
B1_ALL_eur_leave_23andme,19:38584752,chr19:39075391-39075393,0.44372
B1_ALL_eur_leave_23andme,19:38609822,chr19:39100461-39100463,-0.49016
B1_ALL_eur_leave_23andme,19:38609954,chr19:39100593-39100595,0.47895
B1_ALL_eur_leave_23andme,19:38613810,chr19:39104449-39104451,0.48566
B1_ALL_eur_leave_23andme,19:38616601,chr19:39107240-39107242,0.46924
B1_ALL_eur_leave_23andme,20:23329798,chr20:23310434-23310436,0.52299
B1_ALL_eur_leave_23andme,20:23333253,chr20:23313889-23313891,-0.52144
B1_ALL_eur_leave_23andme,20:23347504,chr20:23328140-23328142,0.52239
B1_ALL_eur_leave_23andme,20:23352925,chr20:23333561-23333563,0.5159
B1_ALL_eur_leave_23andme,20:23353740,chr20:23334376-23334378,0.51485
B1_ALL_eur_leave_23andme,20:23475163,chr20:23455799-23455801,0.56758
